source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,1268882701211312129,RT @SenatorEnzi: The unprecedented COVID-19 pandemic has highlighted the need for better federal budgeting. We had the financial tools to a…,Fri Jun 05 12:29:45 +0000 2020,3979,,0,False
Twitter for iPhone,1268882457513820167,"RT @SenMcSallyAZ: Yesterday, the Senate passed legislation to improve the Paycheck Protection Program and grant greater flexibility to our…",Fri Jun 05 12:28:47 +0000 2020,4730,,0,False
Twitter for iPhone,1268882383903830016,"RT @SenMcSallyAZ: Great to hear that Navy veteran Michael White is on his way home to America!
https://t.co/ppK0OJmtKA",Fri Jun 05 12:28:29 +0000 2020,4924,,0,False
Twitter for iPhone,1268882315406487552,RT @SenMcSallyAZ: I spoke to Arizonans during a telephone town hall earlier this week about what’s happening in our country right now. (1/4…,Fri Jun 05 12:28:13 +0000 2020,2811,,0,False
Twitter for iPhone,1268882285975285760,"RT @SenMcSallyAZ: I led a letter to @TheJusticeDept w/ Sens Grassley, Crapo, &amp; Tillis requesting an update on the financial status of the C…",Fri Jun 05 12:28:06 +0000 2020,3664,,0,False
Twitter for iPhone,1268882062909505536,"RT @SenTomCotton: In particular, I’m pleased the administration will be adopting policies similar to my PLA Visa Security Act. America’s so…",Fri Jun 05 12:27:13 +0000 2020,4926,,0,False
Twitter for iPhone,1268881981321940993,RT @SenTomCotton: The president should use the Insurrection Act to deploy active-duty military forces to these cities to support local law…,Fri Jun 05 12:26:53 +0000 2020,6206,,0,False
Twitter for iPhone,1268881939005612041,"RT @SenTomCotton: We should have zero tolerance for anarchy, rioting, and looting. 

If necessary, the president should use the Insurrectio…",Fri Jun 05 12:26:43 +0000 2020,7627,,0,False
Twitter for iPhone,1268881898052427781,RT @SenTomCotton: Judge Sullivan is abusing his judicial power for political purposes. It’s time for General Flynn’s nightmare to end. I’m…,Fri Jun 05 12:26:33 +0000 2020,5432,,0,False
Twitter for iPhone,1268881855643877376,"RT @SenTomCotton: The carnage caused by domestic terrorists and other criminals threatens all law-abiding citizens, including peaceful prot…",Fri Jun 05 12:26:23 +0000 2020,6397,,0,False
Twitter for iPhone,1268881778770612227,RT @SenTomCotton: To those who claim the military has no role in stopping anarchists and other criminals from tearing apart our cities: rea…,Fri Jun 05 12:26:05 +0000 2020,21454,,0,False
Twitter for iPhone,1268881722562789382,"RT @SenTomCotton: There’s no one better equipped to handle a crisis like this than General Milley. Our thanks to him, our troops, and feder…",Fri Jun 05 12:25:51 +0000 2020,4544,,0,False
Twitter for iPhone,1268881690384044033,"RT @SenTomCotton: Violent anarchists and insurrectionists were once again allowed to rule the streets last night in too many cities. 

The…",Fri Jun 05 12:25:44 +0000 2020,4219,,0,False
Twitter for iPhone,1268881608674873345,RT @SenTomCotton: I applaud the U.K.’s decision to open its arms to Hong Kongers fleeing the tyrannical regime in Beijing. Hong Kongers sho…,Fri Jun 05 12:25:24 +0000 2020,4694,,0,False
Twitter for iPhone,1268881530514018305,RT @SenTomCotton: There is both a legal basis and a long historical precedent for using our National Guard and—if necessary—federal troops…,Fri Jun 05 12:25:06 +0000 2020,4078,,0,False
Twitter for iPhone,1268881441552764929,RT @SenTomCotton: I call upon the administration to prioritize the admission of persecuted Hong Kongers to the United States through the U.…,Fri Jun 05 12:24:45 +0000 2020,6875,,0,False
Twitter for iPhone,1268881275877765126,RT @sendavidperdue: Our office has heard from many Georgians who are experiencing significant delays with passport applications or renewals…,Fri Jun 05 12:24:05 +0000 2020,2258,,0,False
Twitter for iPhone,1268881244831584256,RT @sendavidperdue: The Senate unanimously passed a bill to add more flexibility to the Paycheck Protection Program. These targeted changes…,Fri Jun 05 12:23:58 +0000 2020,2856,,0,False
Twitter for iPhone,1268881222580736001,"RT @sendavidperdue: THANK YOU
 
Nurses
Doctors
Grocers
Farmers
Teachers
Custodians
Pharmacists
Truck Drivers
Utility Workers
Delivery Perso…",Fri Jun 05 12:23:52 +0000 2020,2810,,0,False
Twitter for iPhone,1268881144646426624,RT @SenJoniErnst: 🇺🇸 https://t.co/P0PE0uoqum,Fri Jun 05 12:23:34 +0000 2020,2422,,0,False
Twitter for iPhone,1268881110219599880,RT @SenJoniErnst: #ICYMI Iowa leaders send letter petitioning @USDA to provide CFAP funds to egg producers https://t.co/wzPJ4UcD30,Fri Jun 05 12:23:26 +0000 2020,2074,,0,False
Twitter for iPhone,1268881076757450753,RT @SenJoniErnst: I’m continuing to listen to and hear from Iowans across the state! Thanks to @iowapca and @iowarestaurant for visiting wi…,Fri Jun 05 12:23:18 +0000 2020,2171,,0,False
Twitter for iPhone,1268880671734366208,"RT @SenThomTillis: TODAY at 9:40 am
46th Telephone Town Hall
Topic: #COVID19NC

Listen Live: https://t.co/EjMmqN1Q7U https://t.co/P5MKqru05g",Fri Jun 05 12:21:41 +0000 2020,1933,,0,False
Twitter for iPhone,1268880607347716096,"RT @SenCoryGardner: The PPP has already provided more than 98,000 loans in Colorado and these modifications will increase flexibility to he…",Fri Jun 05 12:21:26 +0000 2020,2019,,0,False
Twitter for iPhone,1268880594307633152,RT @SenCoryGardner: Yesterday the Senate passed a version of my PPP Flexibility Act to extend the #PaycheckProtectionProgram loan period &amp;…,Fri Jun 05 12:21:23 +0000 2020,2015,,0,False
Twitter for iPhone,1268880537101512704,"RT @SenCoryGardner: TONIGHT at 7pm MT ➡️ I’m joining state, local, and federal officials from Colorado for a live #COVID19 town hall hosted…",Fri Jun 05 12:21:09 +0000 2020,1634,,0,False
Twitter for iPhone,1268880461046169600,RT @SenCoryGardner: We have got to reopen our economy. I’m working on a concept that we’re putting forward called Rehire America that will…,Fri Jun 05 12:20:51 +0000 2020,1995,,0,False
Twitter for iPhone,1268880416087388162,RT @SenCoryGardner: Today I announced Colorado will receive $44 million to address homelessness and the coronavirus pandemic. #COVID19 has…,Fri Jun 05 12:20:40 +0000 2020,1958,,0,False
Twitter for iPhone,1268880321786851336,No Contest. Steve blows him away. So important for Montana. I’ll be there to help Steve win big!!! https://t.co/K7V4pDCqHN,Fri Jun 05 12:20:18 +0000 2020,7763,,32284,False
Twitter for iPhone,1268879488223522816,True. Steve is a GREAT SENATOR. Need him badly in Washington. Complete and Total Endorsement! https://t.co/7iG8SZZ9LZ,Fri Jun 05 12:16:59 +0000 2020,8111,,33107,False
Twitter for iPhone,1268878961930637313,RT @SteveDaines: And thank you to Montana bankers for working overtime to help our small businesses stay open and workers employed during t…,Fri Jun 05 12:14:53 +0000 2020,2008,,0,False
Twitter for iPhone,1268878939528798209,RT @SteveDaines: Glad to see my bipartisan bill with @SenAngusKing pass the Senate today to increase flexibility for small businesses and w…,Fri Jun 05 12:14:48 +0000 2020,2265,,0,False
Twitter for iPhone,1268878824130912256,RT @SenThomTillis: Peacefully demanding justice and condemning violence are not mutually exclusive. We can and should do both. No American…,Fri Jun 05 12:14:20 +0000 2020,2888,,0,False
Twitter for iPhone,1268878710247219201,"RT @SenThomTillis: It's disgraceful to see the defacing of the Gandhi statue in DC. #Gandhi was a pioneer of peaceful protesting, demonstra…",Fri Jun 05 12:13:53 +0000 2020,3140,,0,False
Twitter for iPhone,1268878667947655169,RT @SenThomTillis: I'm proud Congress could come together to make necessary fixes to the #PaycheckProtectionProgram. These changes will pro…,Fri Jun 05 12:13:43 +0000 2020,1726,,0,False
Twitter for iPhone,1268878624536637440,"RT @SenThomTillis: I’ve been receiving regular briefings from @DeptofDefense about their COVID-19 response. Secretary Esper, the Pentagon,…",Fri Jun 05 12:13:33 +0000 2020,1776,,0,False
Twitter for iPhone,1268878590202052608,"RT @SenThomTillis: This week, I urged Acting Director of the Office of Management and Budget @RussVought45 to phase out all federal regulat…",Fri Jun 05 12:13:25 +0000 2020,1712,,0,False
Twitter for iPhone,1268878420605317120,"RT @SenDanSullivan: I want to offer my profound gratitude for Eldon, all of our Merchant Marine veterans past and present, and those servin…",Fri Jun 05 12:12:44 +0000 2020,1625,,0,False
Twitter for iPhone,1268878411369517057,"RT @SenDanSullivan: One Merchant Mariner I'll never forget is Eldon Gallear, who passed in 2016 but did incredible work advocating with @AM…",Fri Jun 05 12:12:42 +0000 2020,1734,,0,False
Twitter for iPhone,1268878198290423814,"RT @SenDanSullivan: It appears that exculpatory “Brady” evidence, which could have benefited Flynn’s defense, was withheld by the prosecuti…",Fri Jun 05 12:11:51 +0000 2020,2038,,0,False
Twitter for iPhone,1268878134264451072,"RT @SenDanSullivan: On May 12, I wrote to FBI Director Christopher Wray requesting an internal review to determine if there were any invest…",Fri Jun 05 12:11:36 +0000 2020,1939,,0,False
Twitter for iPhone,1268877833050509312,"RT @SenDanSullivan: Julie and I pray that we can come together – as Americans, as Alaskans – to work toward justice, equality, and peace fo…",Fri Jun 05 12:10:24 +0000 2020,1736,,0,False
